id,time,elapsed,memory,priority,agentsreply,duplicatePackets,resentPackets,resultsize,continue,WhenFirstRow,TimeTotalExecute,NumRowsProcessed,NumIndexSeeks,NumIndexScans,NumIndexWildSeeks,NumIndexMerges,NumLeafCacheHits,NumNodeCacheHits,NumLeafCacheAdds,NumIndexAccepted,NumIndexRejected,NumIndexRowsRead,TimeSortElapsed,NumGroups,TimeLocalExecute,NumAllocations,SizeAgentReply,TimeAgentWait,TimeLeafLoad,TimeLeafRead,NumLeafDiskFetches,TimeLeafFetch,fDMetaphone1.NumStarts,fDMetaphone1.NumStops,fDMetaphone1.TimeLocalExecute,fREGEXREPLACE.NumStarts,fREGEXREPLACE.NumStops,fREGEXREPLACE.TimeLocalExecute,fgetGlobalId.NumStarts,fgetGlobalId.NumStops,fgetGlobalId.TimeLocalExecute,fgetLocalId.NumStarts,fgetLocalId.NumStops,fgetLocalId.TimeLocalExecute,fgetCallerId.NumStarts,fgetCallerId.NumStops,fgetCallerId.TimeLocalExecute,fdbglog.NumStarts,fdbglog.NumStops,fdbglog.TimeLocalExecute,NumNodeCacheAdds,TimeNodeLoad,TimeNodeRead,NumNodeDiskFetches,TimeNodeFetch, ,%BranchMiss,%LeafMiss,%BranchFetch,%LeafFetch,AvgTimeBranchFetch,AvgTimeLeafFetch
idlexternallinking.xidl_recswithindistance_service:{HpESCbymHi4nqpevcDgfz9},12:04:17.587,105,9,-2,130134,0,0,162468,0,18943-02-13T22:44:43.598Z,1006.9999999999999,8874,1137,703,249,6,305,943,177,812,297,1097,,143,35.284,84270,127.083Kb,23.175,42.195,10.64,80,10.232,184,184,0.070133,2,2,0.007389000000000001,1,1,0.000927,1,1,0.000478,1,1,0.000191,1,1,0.025383,,,,,,,0.0,36.72199170124481,,45.19774011299435,,0.12789999999999999
idlexternallinking.xidl_recswithindistance_service:{HpESCbVKWBupno6ngtLCYu},12:04:17.585,127,10,-2,201707,0,0,286885,0,19209-12-29T07:06:07.394Z,2011.0000000000002,13577,1070,3916,276,8,110,853,220,3928,3517,7433,0.0006,254,61.348,113728,196.979Kb,35.469,39.858,4.439,16,3.68,582,582,0.326414,2,2,0.009026,1,1,0.001088,1,1,0.000319,1,1,0.000165,1,1,0.013926000000000001,,,,,,,0.0,66.66666666666667,,7.2727272727272725,,0.23
idlexternallinking.xidl_recswithindistance_service:{HpESCZjFxuRJkfZ6HJykLg},12:04:17.439,74,10,-2,100356,0,0,134378,0,20224-02-11T00:27:03.165Z,698.672,6545,557,2516,153,10,82,486,110,2532,2329,4845,0.000849,121,36.882,57379,98.003Kb,18.728,21.352,4.378,27,4.048,152,152,0.057284,2,2,0.008545,1,1,0.00107,1,1,0.000234,1,1,0.000183,1,1,0.016466,,,,,,,0.0,57.291666666666664,,24.545454545454547,,0.14992592592592593
idlexternallinking.xidl_recswithindistance_service:{HpESCYHc38fW7SmjFkR8nJ},12:04:17.416,127,10,-2,216563,0,0,332429,0,18943-02-13T22:43:51.114Z,1568.0,14990,1502,6270,416,9,360,1172,246,6282,5781,12051,0.001717,280,73.985,130685,211.487Kb,38.295,47.44,8.092,36,7.297,246,246,0.26568400000000003,2,2,0.009549,1,1,0.001338,1,1,0.000351,1,1,0.000202,1,1,0.023415,,,,,,,0.0,40.59405940594059,,14.634146341463415,,0.20269444444444443
idlexternallinking.xidl_recswithindistance_service:{HpESCUtyvBLs2JXUBSdi8x},12:04:17.202,93,10,-2,231509,0,0,308234,0,20224-02-11T00:25:35.646Z,1186.0,14625,1113,854,297,8,128,911,193,870,374,1228,0.001192,264,44.244,124189,226.083Kb,22.126,33.646,4.583,27,4.01,768,768,0.332998,2,2,0.009760999999999999,1,1,0.0013839999999999998,1,1,0.000656,1,1,0.000169,1,1,0.019776,,,,,,,0.0,60.124610591900314,,13.989637305699482,,0.14851851851851852
idlexternallinking.xidl_recswithindistance_service:{HpESCUDmSbt7BNkAJaSprp},12:04:17.149,80,10,-2,91290,0,0,118717,0,20597-09-24T16:55:25.108Z,1202.0,5630,457,3583,124,9,66,405,108,3599,3401,6984,0.001004,101,56.6,48430,89.150Kb,28.274,27.535,9.169,23,8.837,230,230,0.185882,2,2,0.011428,1,1,0.0015249999999999999,1,1,0.000342,1,1,0.00024,1,1,0.015692,,,,,,,0.0,62.06896551724138,,21.296296296296298,,0.3842173913043478
idlexternallinking.xidl_recswithindistance_service:{HpESCRzZbNsdD2iXjRwZXG},12:04:17.067,111,11,-2,290609,0,0,310756,0,20597-09-24T16:54:42.952Z,1350.0,16069,1132,2908,302,8,138,926,207,2924,2218,5126,0.000713,271,50.751,130900,283.797Kb,24.709,36.184,3.397,18,2.708,1300,1300,0.5387949999999999,2,2,0.009640000000000001,1,1,0.00106,1,1,0.000426,1,1,0.000175,1,1,0.017175,,,,,,,0.0,60.0,,8.695652173913043,,0.15044444444444446
idlexternallinking.xidl_recswithindistance_service:{HpESCRUyJTVxaFirVkj94r},12:04:17.008,80,9,-2,166900,0,0,264243,0,18943-02-13T22:41:46.802Z,1058.0,11698,928,1069,247,8,104,755,167,1081,759,1828,0.000841,218,40.564,100763,162.988Kb,21.135,33.456,5.763,21,5.216,300,300,0.243999,2,2,0.0089,1,1,0.001224,1,1,0.000315,1,1,0.000247,1,1,0.014671,,,,,,,0.0,61.62361623616236,,12.574850299401197,,0.2483809523809524
idlexternallinking.xidl_recswithindistance_service:{HpESCQdextTZcNJLZ3NTuj},12:04:16.925,42,9,-2,59091,0,0,58271,0,20224-02-11T00:24:17.528Z,589.357,3026,402,627,130,8,118,374,65,643,497,1124,,54,25.917,27769,57.706Kb,13.795,15.469,4.245,30,4.056,106,106,0.074336,2,2,0.008445000000000001,1,1,0.000949,1,1,0.000228,1,1,0.000207,1,1,0.013771,,,,,,,0.0,35.51912568306011,,46.15384615384615,,0.13520000000000001
idlexternallinking.xidl_recswithindistance_service:{HpESCGkoLMajP3vgNqLWUH},12:04:16.539,74,10,-2,109555,0,0,132424,0,20117-05-12T16:13:23.407Z,954.719,6616,533,1981,145,11,62,463,112,1997,1680,3661,0.000879,126,49.511,56800,106.987Kb,22.229,26.573,6.097,27,5.713,324,324,0.148437,2,2,0.010320000000000001,1,1,0.001411,1,1,0.000457,1,1,0.000176,1,1,0.018852,,,,,,,0.0,64.36781609195403,,24.107142857142858,,0.21159259259259258
idlexternallinking.xidl_recswithindistance_service:{HpESCFw6mxbnvrKi3RmfN5},12:04:16.473,51,9,-2,40665,0,0,48613,0,19476-11-12T15:21:52.251Z,1043.0,2327,219,2139,62,9,31,213,61,2153,2067,4206,0.000712,42,48.806,20861,39.711Kb,24.569,15.797,5.292,8,5.029,44,44,0.036924,2,2,0.009977,1,1,0.001157,1,1,0.000366,1,1,0.000317,1,1,0.015401999999999999,,,,,,,0.0,66.30434782608695,,13.114754098360656,,0.628625
idlexternallinking.xidl_recswithindistance_service:{HpESCEpGfCXwYq7Up2oEzP},12:04:16.409,45,8,-2,8039,0,0,5175,0,18836-05-15T14:30:21.876Z,806.401,357,69,3144,25,5,18,100,54,3156,3135,6279,0.000682,9,40.588,4920,7.850Kb,20.671,16.004,5.074,11,4.929,18,18,0.040688,2,2,0.011039,1,1,0.001274,1,1,0.000457,1,1,0.000176,1,1,0.014872999999999999,,,,,,,0.0,75.0,,20.37037037037037,,0.4480909090909091
idlexternallinking.xidl_recswithindistance_service:{HpESC8ih5JJPjJxpHEvizh},12:04:16.162,122,9,-2,130758,0,0,146359,0,20224-02-11T00:19:43.454Z,1430.0,7422,830,3085,408,8,323,752,134,3101,2738,5823,0.000941,132,57.401,64005,127.693Kb,28.801,30.054,6.833,33,6.435,316,316,0.182202,2,2,0.007677,1,1,0.001001,1,1,0.000509,1,1,0.00019,1,1,0.014478,,,,,,,0.0,29.321663019693656,,24.62686567164179,,0.19499999999999998
idlexternallinking.xidl_recswithindistance_service:{HpESC9zetUnjssNjkS6RjZ},12:04:16.155,48,10,-2,51649,0,0,60482,0,20117-05-12T16:11:20.913Z,850.407,2902,272,676,77,10,41,262,62,692,581,1257,0.000757,55,43.824,25794,50.438Kb,21.945,16.512,5.67,21,5.456,84,84,0.045612,2,2,0.010154,1,1,0.001274,1,1,0.000375,1,1,0.000174,1,1,0.015282,5,0.923089,0.668329,5,0.668329,,1.8726591760299625,60.19417475728155,100.0,33.87096774193548,0.1336658,0.2598095238095238
idlexternallinking.xidl_recswithindistance_service:{HpESC9Zvp6Dj8EBxeYjKZD},12:04:16.109,24,9,-2,15182,0,0,9512,0,20117-05-12T16:11:12.912Z,566.088,630,91,387,38,4,22,129,27,403,360,747,0.000806,10,30.505,7338,14.826Kb,15.793,8.53,3.41,19,3.368,72,72,0.051393,2,2,0.011897,1,1,0.002081,1,1,0.000694,1,1,0.000204,1,1,0.016725999999999998,,,,,,,0.0,55.10204081632653,,70.37037037037037,,0.17726315789473684
idlexternallinking.xidl_recswithindistance_service:{HpESC7UzfpSqT83VGkGx6P},12:04:16.042,67,10,-2,78963,0,0,96392,0,20224-02-11T00:19:08.116Z,848.47,4992,449,3319,131,11,74,429,115,3335,3175,6494,0.0010149999999999998,90,40.053,46636,77.112Kb,20.414,22.266,3.924,26,3.553,114,114,0.086863,2,2,0.007941,1,1,0.00103,1,1,0.000409,1,1,0.000242,1,1,0.015856,,,,,,,0.0,60.84656084656085,,22.608695652173914,,0.13665384615384615
idlexternallinking.xidl_recswithindistance_service:{HpESC6gbWYA7AgDUoBtkfk},12:04:16.029,96,10,-2,167611,0,0,265052,0,20597-09-24T16:48:46.616Z,1570.0,12317,1025,1306,277,11,152,844,159,1322,1020,2326,0.000852,233,59.403,108265,163.682Kb,31.649,39.629,10.371,32,9.821,150,150,0.087831,2,2,0.009051,1,1,0.001413,1,1,0.000383,1,1,0.000153,1,1,0.022505,8,1.285,0.9765130000000001,8,0.9765130000000001,,0.9389671361502347,51.12540192926045,100.0,20.12578616352201,0.12206412500000001,0.30690625
idlexternallinking.xidl_recswithindistance_service:{HpESC6KDjvdRgabbu5Uv44},12:04:16.025,113,11,-2,284480,0,0,423746,0,20597-09-24T16:48:39.026Z,1226.0,19987,1834,4158,566,13,429,1394,245,4174,3588,7746,0.0011519999999999998,374,56.699,172569,277.812Kb,27.6,48.203,5.181,21,4.316,1034,1034,0.45805,2,2,0.008571,1,1,0.000947,1,1,0.000475,1,1,0.000215,1,1,0.018260000000000002,,,,,,,0.0,36.35014836795252,,8.571428571428571,,0.20552380952380953
idlexternallinking.xidl_recswithindistance_service:{HpESC7Y3t53aA29mCkSx3y},12:04:16.018,40,10,-2,57154,0,0,55732,0,20224-02-11T00:19:08.313Z,663.892,3138,284,1267,85,9,48,279,67,1283,1158,2425,0.000702,59,33.28,27910,55.814Kb,16.73,15.029,3.831,28,3.652,96,96,0.069938,2,2,0.009436,1,1,0.001065,1,1,0.000291,1,1,0.000181,1,1,0.015482,6,0.95547,0.790822,6,0.790822,,2.1052631578947367,58.26086956521739,100.0,41.791044776119406,0.13180366666666668,0.13042857142857142
